all,n,score
behavioral science,1,0
hiv research,1,0
mother,1,0
child,1,0
public health aspects,1,0
cell gene expressions,1,0
human stem cell,1,0
kegg pathways,1,0
romani dialects,1,0
people analytics,1,0
employees,1,0
bluetooth,1,0
phone log,1,0
friends,1,0
mobile phones,1,0
matlab,1,0
reality mining,1,0
social evolution,1,0
social physics,1,0
heatmaps,1,0
paris,1,0
tumor vulnerabilities,1,0
shrna,1,0
hearing problems,1,0
pacific ethnicity,1,0
pasifika,1,0
sāmoans,1,0
cook islands māori,1,0
tongans,1,0
niueans,1,0
fijians,1,0
tokelauans,1,0
tuvaluans,1,0
biostatistics,1,0
oral health,1,0
radiographs,1,0
family transfer systems,1,0
gereontology,1,0
disability burden,1,0
aging process,1,0
multidsciplinary,1,0
cognitive impairment,1,0
subcortical features,1,0
insulin resistance,1,0
geriatrics,1,0
central nervous system,1,0
walk,1,0
experimental reagents,1,0
molecular signatures,1,0
small molecules reagents,1,0
medical prevention,1,0
diet & nutrition,1,0
physical activity,1,0
environmental factors,1,0
vocabulary,1,0
legal texts,1,0
newspapers,1,0
narrative prose,1,0
sermons,1,0
scholarly writing,1,0
living conditions,1,0
social and migrant status,1,0
accute and chronic illness,1,0
drug usage,1,0
health risks,1,0
complaints,1,0
eating disorders,1,0
adiposity,1,0
social net,1,0
leisure activities,1,0
accidents,1,0
physical wellbeing,1,0
soical contact,1,0
health awareness,1,0
social disparities,1,0
diabetes-related complications,1,0
myocardial infarction,1,0
stroke,1,0
congestive heart failure,1,0
end-stage renal disease,1,0
lower-extremity amputation,1,0
proliferative retinopathy,1,0
acute metabolic events,1,0
medication adherence,1,0
health communications,1,0
health literacy and language barriers,1,0
vro,1,0
virtual research office,1,0
blood pressure,1,0
weight,1,0
ekg,1,0
dxa,1,0
anthropometrics,1,0
ankle-brachial index,1,0
mdct,1,0
blood collection,1,0
urine collection,1,0
acoustic cardiogram,1,0
accelerometer placement,1,0
walk test,1,0
cognitive screening test,1,0
dallas county,1,0
cicer arietinum,1,0
chickpea transcriptome,1,0
arapidopsis,1,0
flower development,1,0
compound microsatellite,1,0
polymorphic microsatellite,1,0
wild chickpea,1,0
desi chickpea,1,0
kabuli chickpea,1,0
cicer reticulatum,1,0
plant development,1,0
biological signalling,1,0
p:luc,1,0
rhythm analysis,1,0
plant growth,1,0
chronobiology,1,0
schooling,1,0
intelligence,1,0
pegnancy,1,0
heart disease,1,0
brain aging,1,0
genetic tests,1,0
cognitive psychology,1,0
conversational interactions,1,0
human memory,1,0
collective beliefs,1,0
collective decisions,1,0
field studies,1,0
social network analysis,1,0
agent-based simulations,1,0
nanobio,1,0
thermalhub,1,0
nanomaterial registry,1,0
autographs,1,0
digitalizations,1,0
opera,1,0
codices,1,0
inkunabel,1,0
drawings,1,0
saxonica,1,0
photo archive,1,0
irish history,1,0
irish cultural heritage,1,0
ethnic groups,1,0
oral histories,1,0
religious segregation,1,0
seeds of discovery,1,0
agricultural systems,1,0
genetic engineering,1,0
digital archive,1,0
electronic dictionaries,1,0
syntactic analyses,1,0
semantic analyses,1,0
speech recognition,1,0
freshwater biology,1,0
land-based stations,1,0
interactive maps,1,0
bathymetry & global relief,1,0
strong motion,1,0
shakemap,1,0
accelerogram,1,0
strong motion stations,1,0
historical earthquakes,1,0
supercomputers,1,0
storage,1,0
high performance computing,1,0
networking,1,0
climate change projections,1,0
historical climate,1,0
bioclim,1,0
garp,1,0
ecological modeling,1,0
circulation,1,0
energy cycle,1,0
carbon,1,0
data integration framework,1,0
data management and communications plan,1,0
dmac,1,0
marine environmental phenomena,1,0
coastal waters,1,0
freshwater turtle,1,0
community mapping,1,0
el niño-southern oscillation,1,0
 enso,1,0
pazific ocean,1,0
climate phenomenon,1,0
drifts,1,0
mooring,1,0
surface temperature,1,0
global substorm phenomena,1,0
spacecraft observations,1,0
magnetosheath,1,0
eruptions,1,0
magnetic fields,1,0
northern light,1,0
cedar program,1,0
geospace data,1,0
incoherent scatter radar (isr),1,0
topographic,1,0
us topo,1,0
exosystem,1,0
vswr bandwdith dipole,1,0
wallops island radar,1,0
mesosphere,1,0
thermosphere,1,0
hf radar,1,0
ionized gas,1,0
interior of the sun,1,0
sun corona,1,0
sun-earth interaction,1,0
space science,1,0
cds,1,0
celias,1,0
eit,1,0
erne,1,0
golf,1,0
lasco,1,0
mdi,1,0
sumer,1,0
swan,1,0
uvcs,1,0
virgo,1,0
hiromb bs01,1,0
besan,1,0
arome,1,0
hirlam,1,0
 soils,1,0
land use management,1,0
nematode c. elegans,1,0
multi-cellular organism,1,0
simulaton,1,0
computational modeling,1,0
caenorhabditis elegans,1,0
pedigree,1,0
bloodline,1,0
amoebae,1,0
taxonomic catalogue,1,0
phylogenies,1,0
wind profiling radars,1,0
cloud profiling radars,1,0
air-sea fluxes,1,0
satellite meterology,1,0
tdrss,1,0
earth oberservation satellite,1,0
spacecraft instrument,1,0
cryospere,1,0
planetary science,1,0
world data atlas,1,0
analytics,1,0
graphs,1,0
open data,1,0
software - as - a - service saas,1,0
open data dashboard,1,0
cloud-based data management system,1,0
encyclopedia of funghi,1,0
symbiosis,1,0
biocontrol,1,0
biorefinery mechanisms,1,0
expression,1,0
helix,1,0
environment 2010,1,0
infrastructure for spatial information in europe,1,0
inspire,1,0
aatams,1,0
carl linnaeus’s species plantarum,1,0
botanicus project,1,0
flora of north america,1,0
flora of china,1,0
flora mesoamericana,1,0
floristic data,1,0
biodiversity heritage library (bhl),1,0
botanical database,1,0
neotropical ecozone,1,0
tigerz,1,0
calipso,1,0
catz,1,0
atmospheric brown cloud (abc),1,0
african monsoon multidisciplinary analysis (amma),1,0
base asia - thailand,1,0
megacity aerosol experiment in mexico city (max-mex),1,0
distributed regional aerosol gridded observation networks (dragon),1,0
sky radiance,1,0
angström exponent,1,0
tropos,1,0
cimel sun photometer,1,0
aerosol optical depth (aod),1,0
sky-photometer,1,0
sun-photometer,1,0
ikonos,1,0
quickbird,1,0
orbview,1,0
landsat,1,0
srtm,1,0
elevation data,1,0
goes,1,0
temperature anomalies,1,0
long-term temperature,1,0
l-oti,1,0
land-ocean temperature index,1,0
noaa ghcn v3,1,0
ersst v4,1,0
global historical climate network,1,0
scarr,1,0
scientific committee on arctic research,1,0
biotype,1,0
ukirt,1,0
ukidss,1,0
ukirt infrared deep sky survey,1,0
dark energy,1,0
illustris,1,0
sloan digital sky survey,1,0
dark energy camera legacy survey,1,0
decals,1,0
flm,1,0
water quality data,1,0
haze,1,0
federal land manager,1,0
improve website,1,0
wrap technical support system,1,0
wrap tss,1,0
interagency monitoring of protected visual environment,1,0
air-quality-related value aqrv,1,0
improver,1,0
seismic portal,1,0
citizen seismology,1,0
sigma,1,0
verce,1,0
marsite,1,0
nera,1,0
epos,1,0
reakt,1,0
european forecasts,1,0
socio-demographics,1,0
enlargement,1,0
social situation,1,0
the euro,1,0
gridded datasets,1,0
tabular datasets,1,0
sulphur,1,0
nitrogen,1,0
hemisphere,1,0
precipitation quality,1,0
modelling of atmospheric transport,1,0
depositions,1,0
seismic networks,1,0
esm,1,0
european strong motion database,1,0
rrsm,1,0
rapid raw strong motion database,1,0
geofon,1,0
co2 emission,1,0
lime,1,0
ammonia,1,0
kyoto protocol greenhouse gases,1,0
wikipedia,1,0
sea,1,0
in-situ,1,0
operational oceanography,1,0
argo,1,0
mersea,1,0
volcano monitoring,1,0
hazard monitoring,1,0
indo-pacific ocean,1,0
tropical marine biodiversity,1,0
historical weather,1,0
weather radar,1,0
crabs,1,0
submerged aquatic vegetation,1,0
drainage basin,1,0
geographic information system (gis),1,0
mammal,1,0
natural infrasturcture,1,0
quality assurance (qa),1,0
vertebrate,1,0
watershed,1,0
plasma and solar wind,1,0
gamma and x-rays,1,0
ephemeris,1,0
electric and magnetic fields,1,0
standard,1,0
solar terrestrial physics,1,0
earth climate system,1,0
earth radiation field,1,0
nature conservancy,1,0
atlassers,1,0
bird conservation,1,0
computer programming,1,0
taverna workflow suite,1,0
population modelling,1,0
data processing tool,1,0
scar-marbin,1,0
princess elisatbeth station,1,0
afg,1,0
eba,1,0
limnetic,1,0
biogeographic,1,0
ipt,1,0
duacs,1,0
ssalto,1,0
ocean surface topography mission,1,0
ssh - sea surface height,1,0
radiometer,1,0
ebird,1,0
bmdr,1,0
griffin groups,1,0
bird observatory,1,0
lamna,1,0
pressure,1,0
plant science,1,0
high altitude stations,1,0
instruments and sensors,1,0
ground data,1,0
arctic landscapes,1,0
climate system,1,0
earth system models esms,1,0
microtopography,1,0
energy dynamics,1,0
atomic-scale modeling,1,0
atomic microstructures,1,0
atomistic scale methodologies,1,0
materials science,1,0
ngs data,1,0
snp data,1,0
chimpanzee,1,0
air chemistry,1,0
atmospheric chemical deposition,1,0
measuring rain,1,0
foodplain,1,0
water supply planning,1,0
wasserblick,1,0
german lakes,1,0
german waterways,1,0
drinking water,1,0
hydrologic atlas,1,0
upper air,1,0
cloud systems,1,0
airborne measurements,1,0
cumulus,1,0
global radiation,1,0
air temperature,1,0
cameroon,1,0
arktis,1,0
human mobility,1,0
cultural environment,1,0
environmental conditions,1,0
paleoenvironment,1,0
atmospheric temperature,1,0
polar orbit,1,0
robots,1,0
human-robot interaction,1,0
biological kybernetics,1,0
grasping,1,0
motion tracking,1,0
virtual objects,1,0
motor synergies,1,0
mental representation of movement,1,0
robotics,1,0
traqa,1,0
canopee,1,0
satellite products,1,0
mediterranean,1,0
age,1,0
sex,1,0
socioeconomic status,1,0
body mass index bmi,1,0
antibody titer,1,0
upper respiratory invectious uri,1,0
cardiovascular function,1,0
endocrine,1,0
metabolic activity,1,0
psychological health,1,0
demographic,1,0
deep sea research,1,0
sea temperature,1,0
marine spatial planning,1,0
coastal governance,1,0
coastal vulnerability,1,0
coastal hazards,1,0
freshwater ecology,1,0
freshwater management,1,0
fish-sprich,1,0
bolivian fish,1,0
stygofauna mundi,1,0
species observations,1,0
phenotypic diversity,1,0
aerial photography,1,0
geospatial field,1,0
meteorite,1,0
environmental geosciences,1,0
clinical sciences,1,0
business and management,1,0
environmental science and management,1,0
forestry sciences,1,0
specialist studies in education,1,0
nursing,1,0
education systems,1,0
medical and health sciences,1,0
virtual herbarium,1,0
murray-darling basin,1,0
river,1,0
eastern australian survey,1,0
lake eyre,1,0
western rivers,1,0
uv ratings,1,0
uva wavelenghts,1,0
uvb wavelenghts,1,0
solice data,1,0
solar radiation science,1,0
avifauna,1,0
timber harvesting,1,0
gippsland,1,0
gen sequencing,1,0
shotgun experiments,1,0
neandertal,1,0
human skull,1,0
human skeleton,1,0
biological adaptation,1,0
evolutionary impact,1,0
ecological genetics,1,0
evolutionary genetics,1,0
fly population,1,0
terrestrial ecology,1,0
field surveys,1,0
rock sample,1,0
development aid agency,1,0
trancparency,1,0
cash flow,1,0
spending,1,0
control,1,0
affilation networks,1,0
animal networks,1,0
authorship networks,1,0
communications networks,1,0
computer networks,1,0
feature networks,1,0
folksonomies,1,0
human contact networks,1,0
human social networks,1,0
hyperlink networks,1,0
interaction networks,1,0
lexical networks,1,0
metabolic networks,1,0
miscellaneous networks,1,0
online contact networks,1,0
physical networks,1,0
rating networks,1,0
online social networks,1,0
software networks,1,0
text networks,1,0
trophic networks,1,0
information networks,1,0
emails,1,0
web graphs,1,0
road networks,1,0
internet networks,1,0
collaboration networks,1,0
communication networks,1,0
fact sheets,1,0
plant guides,1,0
plant profiles,1,0
plant symbols,1,0
species abstracts,1,0
characteristics,1,0
crop information,1,0
condensed matter,1,0
xas,1,0
periodic table,1,0
longitudinal surveys,1,0
cross-sectional surveys,1,0
pilot data,1,0
biosphere reserve,1,0
natural changes,1,0
forest development,1,0
carbon dynamics,1,0
magnetic monitoring,1,0
swarm,1,0
geographic information systems gis,1,0
geomagnetic field,1,0
chinese family tracing survey (cfps),1,0
chinese health and retirement longitudinal survey (charls),1,0
chinese elderly health factors follow-up survey (clhls),1,0
beijing social and economic development annual survey (bas),1,0
dataup,1,0
dataone,1,0
ezid,1,0
vivo,1,0
sciencebase,1,0
geo data portal,1,0
gdp,1,0
biodiversity information serving our nation,1,0
bison,1,0
data basin,1,0
quantitative trait loci - qtl,1,0
heredity,1,0
social and behavioural scienes,1,0
electrical engineering,1,0
system engineering,1,0
financial statistics,1,0
natural diesasters,1,0
marine data management,1,0
coast,1,0
bathytermography,1,0
planktion,1,0
earth climate,1,0
phosphate,1,0
silicate,1,0
nitrate,1,0
a-cap,1,0
antarctic cryosphere,1,0
aerosol chemistry,1,0
baja california,1,0
dilution of petroleum,1,0
dispersion of petroleum,1,0
distribution of petroleum,1,0
gas releases,1,0
oil spill,1,0
gulf of mexico alliance,1,0
oma,1,0
systemic functions,1,0
molecular interaction networks,1,0
nucleic acid,1,0
metabolic network model,1,0
metabolic network,1,0
socio-economy,1,0
biological specimens,1,0
core laboratories,1,0
biomedical,1,0
sleepbrl,1,0
cuiless,1,0
pwave,1,0
national sleep research resource,1,0
sudden death,1,0
heart,1,0
nervous system,1,0
nonlinear dynamics,1,0
cardiology,1,0
biomedical signals,1,0
physiological signals,1,0
health informatics,1,0
cip,1,0
cancer imaging program,1,0
allergy,1,0
metabolites,1,0
metabonomics,1,0
metabolomics study,1,0
metabolomics experiment,1,0
metabolite database,1,0
rainforest revegetation,1,0
greet barrier reef,1,0
tropical ecosystems,1,0
torres strait,1,0
seltmp,1,0
wet tropics,1,0
seagrass,1,0
turtles,1,0
dugongs,1,0
seabirds,1,0
fish abundance,1,0
ocean circulation and climate dynamics,1,0
human samples with associated data,1,0
proposal database,1,0
pdb,1,0
geotechnics,1,0
mines,1,0
diamonds,1,0
zero-mg hydrothermal end-member compositions,1,0
dissolved gas,1,0
radiogenic istopes,1,0
stable istopes,1,0
carcinogenicity,1,0
biological process,1,0
coding sequence diversity,1,0
sequence clusters,1,0
agricultural science,1,0
animal products,1,0
information theory,1,0
clinical neuroinformatics,1,0
computational science,1,0
environmental impacts,1,0
 antarctic,1,0
solar data,1,0
oceanic,1,0
crop data,1,0
skeleton,1,0
paleomorphology,1,0
stereolitography,1,0
global forest extent,1,0
global forest change,1,0
fair data,1,0
plant life,1,0
animal genome,1,0
gbrowse,1,0
nuclear reaction data,1,0
reaction data,1,0
nuclear data,1,0
drilling science,1,0
chronometry,1,0
sea sediments,1,0
deepbios,1,0
subseafloor,1,0
microbiology samples,1,0
microfossil samples,1,0
hard rocks,1,0
mission,1,0
sea areas,1,0
water areas,1,0
snow & ice,1,0
map creation,1,0
 forestry,1,0
ranching,1,0
geological features,1,0
coastal resources,1,0
genomic sciences,1,0
kinetoplatid genomes,1,0
eukaryotic pathogens,1,0
crithidia,1,0
eedotrypanum,1,0
leishmania,1,0
trypanosoma,1,0
euglenozoa,1,0
pathogen researcher,1,0
history ,1,0
legal structures,1,0
interreligious relations,1,0
history of religion minorities,1,0
confession,1,0
europenan law,1,0
minorities,1,0
mdc,1,0
max-delbrueck,1,0
huntington,1,0
cos cells,1,0
phosphoproteins,1,0
signaltransducing,1,0
neurogenerative disorder,1,0
intracellular signaling peptides and proteins,1,0
human protein,1,0
max-delbrück-centrum,1,0
mdc berlin,1,0
berlin buch,1,0
cell growth,1,0
molecular therapy,1,0
cardiovascular diseases,1,0
regenerative medicine,1,0
marine research data,1,0
sample,1,0
observatories,1,0
earth system research,1,0
biotopes,1,0
species distribution,1,0
sedimentology,1,0
neumayer iii,1,0
atm,1,0
fram,1,0
polar 6,1,0
polar 5,1,0
polar 2,1,0
heincke,1,0
polarstern,1,0
applied physics,1,0
atomic spectroscopy,1,0
radiative transition,1,0
atmoic structures,1,0
theoretical physics,1,0
fusion reserach,1,0
atomic collision,1,0
molecular collision,1,0
atomic structure,1,0
ionization stage,1,0
cross sections,1,0
collision strengths,1,0
rates coefficients,1,0
radiation transport,1,0
ledcop,1,0
plasmaphysics,1,0
numerical methods,1,0
atomic transitions,1,0
absorption in stellar spectra,1,0
spectral lines,1,0
stellar atmospheres,1,0
quantum physics,1,0
griem,1,0
obspm,1,0
lerma meudon,1,0
transition,1,0
upper level,1,0
lower level,1,0
emmission lines,1,0
ion source,1,0
ion optics,1,0
electron gun,1,0
ion bombardement,1,0
emmission,1,0
atomic and molecular physics,1,0
solar atlases,1,0
computed spectra,1,0
atomic,1,0
hollow cathode lamp,1,0
intensities,1,0
platinum,1,0
pt,1,0
spectrograph,1,0
spectrum,1,0
ultraviolet,1,0
uv,1,0
transition probabilities,1,0
oscillator strengths,1,0
f-values,1,0
a-values,1,0
line strengths,1,0
radiative lifetimes,1,0
atomic line broadening,1,0
line shapes,1,0
line shifts,1,0
doppler broadening,1,0
stark broadening,1,0
stark shifts,1,0
resonance broadening,1,0
zeeman broadening,1,0
van der waals broadening,1,0
line wings,1,0
microfield distributions,1,0
line asymmetries,1,0
turbulent plasmas,1,0
plasma polarization shifts,1,0
satellite bands,1,0
natural line shapes,1,0
radiation induced broadening,1,0
instrumental broadening,1,0
plasma diagnostics,1,0
self-absorption,1,0
light shifts,1,0
anomalous redshifts,1,0
laser field-induced broadening,1,0
line-narrowing mechanisms,1,0
foreign-gas broadening,1,0
line broadening tables,1,0
tables of voigt functions,1,0
educational science,1,0
religous education,1,0
imprints,1,0
digital editions,1,0
archaeological objects,1,0
image databank,1,0
art history,1,0
gene structure,1,0
named function networking,1,0
named data networking,1,0
content centric networking,1,0
content names,1,0
icn,1,0
information centric networking,1,0
url,1,0
personal,1,0
horticulture,1,0
veterinary,1,0
community survey,1,0
agrarian reform,1,0
hiv/aids,1,0
health system,1,0
child maltreatment prevention,1,0
alcohol prevention,1,0
schools,1,0
financial crisis,1,0
qualititative data,1,0
banking regulation,1,0
risk management,1,0
financal stability,1,0
banking structure,1,0
corporate finance,1,0
household finance,1,0
reactor,1,0
ecology of plankton,1,0
microalgae,1,0
occupational safety and health,1,0
stratigraphy,1,0
lithology,1,0
drillhole,1,0
mineral and petroleum industry,1,0
minerals exploration,1,0
south australia,1,0
mineral deposits,1,0
biomaterial,1,0
paraffin-embedded tissue samples,1,0
frozen tissue samples,1,0
cellpreparations,1,0
serum samples,1,0
plasma samples,1,0
dna extracts,1,0
patient materials,1,0
genome reserach,1,0
animal voices,1,0
pattern recognition,1,0
recording system,1,0
fairytales,1,0
architectural drawings,1,0
caricatures,1,0
deutsche fotothek,1,0
furniture design,1,0
janke archive,1,0
miniatures from the bibliotheca palatina,1,0
worker photography,1,0
print study room,1,0
old photographs,1,0
cameroon tanzania,1,0
rwanda carolinas,1,0
marianas mining,1,0
vegetation animals,1,0
education mission,1,0
railway traffic,1,0
colonial troops,1,0
marshall-islands,1,0
western-samoa,1,0
 harbour,1,0
federation of micronesia,1,0
german colonies,1,0
german settlements,1,0
portrait,1,0
colonial administration,1,0
navy,1,0
german-east-africa,1,0
kiautschou,1,0
tsingtau,1,0
papua-new-guinee,1,0
discovery research,1,0
kaiser-wilhelmsland,1,0
agriculture trade,1,0
image analysis,1,0
aeri,1,0
ct25k,1,0
mira,1,0
hatpro-tophat,1,0
mrr,1,0
micro rain radar,1,0
sodar,1,0
tsi,1,0
totalö sky imager,1,0
marine resources,1,0
marine hazards,1,0
marine biochemistry,1,0
ocean floor,1,0
tropical ocean,1,0
geosystem,1,0
history of medicine,1,0
history of technology,1,0
european studies,1,0
music history,1,0
history of literature,1,0
history of europe,1,0
podcast,1,0
history of science,1,0
translations,1,0
visualizations of quantum mechanics,1,0
cirilo,1,0
genetic factors,1,0
adolescence,1,0
dutch study,1,0
bullying,1,0
conversation,1,0
speechcorpus,1,0
accomodation,1,0
mortages,1,0
assets,1,0
liabilities,1,0
economic and psychological concepts,1,0
dutch dialect,1,0
dutch songs,1,0
dutch names,1,0
early middle dutch,1,0
frisian language,1,0
frantext,1,0
dede,1,0
morphalou,1,0
real time data,1,0
broad-band network,1,0
seismic network,1,0
tsunami warning,1,0
molecular biodiversity,1,0
hylogenetic inference,1,0
taxonomy of the eukaryotics,1,0
rdna,1,0
rrna,1,0
microbial dna sequence data,1,0
radio telescope,1,0
artworks,1,0
legal manuscripts,1,0
land health,1,0
fertilizer,1,0
psychographics,1,0
media market,1,0
consumer survey,1,0
cati,1,0
random digit dialing telephone surveys,1,0
biodegradation,1,0
political behavior,1,0
bamboo,1,0
wood cellulose,1,0
silviculture,1,0
risk factors,1,0
cardiovascular disease,1,0
hepatopathy,1,0
neurological disease,1,0
thyroid disease,1,0
dental disease,1,0
pulmonary disease,1,0
drug abusing behavior,1,0
cruise reports,1,0
multibeam,1,0
seismic sections,1,0
proteomes,1,0
quantitative studies,1,0
geographic studies,1,0
malnutrition,1,0
heritage speakers,1,0
fluent speakers,1,0
cross-linguistic,1,0
functional foods,1,0
phytoremediation,1,0
organelle dynamics,1,0
gene expresion,1,0
transcriptomine,1,0
reagents,1,0
nuclear receptor signaling,1,0
house mouse,1,0
norway rat,1,0
metabolic engineering,1,0
social services,1,0
employment and skills,1,0
crime and community safety,1,0
transparency,1,0
geoid models,1,0
historical plankton,1,0
eggs and larvae,1,0
fish trawl surveys,1,0
genetic structures,1,0
integrons,1,0
clinical chemistry,1,0
biomarker discovery,1,0
general education,1,0
transporter,1,0
maritime historical studies,1,0
interstellar medium,1,0
climate indicators,1,0
spectral/engineering,1,0
eye movement,1,0
cortex,1,0
retina,1,0
communication sciences,1,0
phonbank,1,0
linguistic coding,1,0
america,1,0
astronomy thesaurus,1,0
grants,1,0
uat,1,0
drug screening data,1,0
mouse models,1,0
rat models,1,0
transplantation models,1,0
asthma,1,0
chronic disease,1,0
smart,1,0
gsps,1,0
non-carbohydrate moieties,1,0
fragment,1,0
carbohydrates,1,0
archae,1,0
macrodata,1,0
genetic data,1,0
biospecimen assays,1,0
parkes radio telescope,1,0
radio-astronomy,1,0
rice breeding,1,0
rice genetics,1,0
sustainable productivity,1,0
nerica,1,0
arica,1,0
rice genebank,1,0
rice pathology,1,0
rice entomology,1,0
rice physiology,1,0
biomedical research projects,1,0
fetal medicine,1,0
pediatric surgery,1,0
mental disease,1,0
fungal systematics,1,0
index fungorum,1,0
index of fungi,1,0
international code of nomenclature icn,1,0
nomenclatur,1,0
typification,1,0
historic data,1,0
systematics,1,0
mammalogy,1,0
substance,1,0
parcs,1,0
performing arts resource centers,1,0
glopac,1,0
brain function,1,0
neuroimagining,1,0
drosophila,1,0
expressen pattern,1,0
multicellular organisms,1,0
prokaryotes,1,0
asian studies,1,0
judaica,1,0
handwritings,1,0
literary remains,1,0
cancer cell line,1,0
photoelectric effect,1,0
charge of electron,1,0
electric field,1,0
gaussian-type basis sets,1,0
gto,1,0
effective core potentials,1,0
multi-scale chemical science,1,0
environmental molecular sciences,1,0
computational models,1,0
surgical procedures,1,0
preventive measures,1,0
rehabilitation strategies,1,0
lifestyle,1,0
complementary therapies,1,0
devices,1,0
pmu,1,0
purchasing managers index,1,0
consumer price index,1,0
producer price index,1,0
biometric identification - data processing,1,0
chemistry - analytic standards,1,0
fingerprints,1,0
oxide ceramics,1,0
meteorology - data processing,1,0
meteorology - remote sensing,1,0
meteorology - research,1,0
meteorology - research - international cooperation,1,0
malera,1,0
malaria eradication research agenda,1,0
emod,1,0
openmalaria,1,0
human development,1,0
social history,1,0
socialism,1,0
marriage,1,0
philanthropy,1,0
protein-protein interactoin ppi,1,0
methods,1,0
diatoms,1,0
friedrich hustedt,1,0
herbaria,1,0
slides,1,0
electrical and system engineering,1,0
 geosciences (including geography),1,0
horticulture and veterinary medicine,1,0
virology and immunology,1,0
humanites,1,0
land surface mapping,1,0
s-band,1,0
radar satellite,1,0
x-band radar based sar (synthetic aperture radar) interferometry images,1,0
velocity measurements,1,0
digital earth elevation model,1,0
radar mission,1,0
x-band,1,0
sar data,1,0
geologic hazards,1,0
gps flight receiver,1,0
glacier dynamics,1,0
ice sheet impact,1,0
gravity field,1,0
satellite orbit,1,0
3d visualisation,1,0
earth rotation,1,0
satellite orbits,1,0
galileo,1,0
galileo  terres trial  reference  frame,1,0
earth rotation parameters,1,0
satellites orbits,1,0
satellite navigation,1,0
atmosphere sounding,1,0
modern languages,1,0
geograhy,1,0
large floods,1,0
river watch,1,0
inundation,1,0
drought,1,0
bio samples,1,0
fish embryos,1,0
fish sperms,1,0
protein coding genes,1,0
mutant zebrafish,1,0
transgenic zebrafish,1,0
screening service,1,0
horticulture medicine,1,0
economic change,1,0
datasets,1,0
experimental methodology,1,0
meta-learning,1,0
alloy,1,0
material testing,1,0
hydrogen incident,1,0
hydrogen sorption,1,0
high temperature reactor fuel element data,1,0
high temperature reactor graphite element data,1,0
clean fossil fuel,1,0
enery research,1,0
nuclear security,1,0
hydrogen accident,1,0
undersea network,1,0
britisch columbia,1,0
north east pacific,1,0
marine ecosystems,1,0
ocean science,1,0
measurement of seismic acitvity,1,0
methane gas,1,0
earthquakes and tsunamis,1,0
ocean-atmosphere interactions,1,0
multi-disciplinary,1,0
rnai library,1,0
drosophila genome,1,0
substances,1,0
sequence information,1,0
rpbs,1,0
micrornas,1,0
gene regulation,1,0
computer assisted theragnostics cat,1,0
radiotherapy,1,0
data security,1,0
anonymized research data,1,0
interviews,1,0
qualitative social research,1,0
geomagnetic measurement,1,0
earth magnetic field,1,0
geomagnetic information nodes (gins),1,0
satellite communication,1,0
intermagnet magnetic observatories imo,1,0
josephine powell slide collection,1,0
textile heritage,1,0
thesis,1,0
dissertations,1,0
kaleidoscope collection,1,0
research material,1,0
survey methodology,1,0
social structure,1,0
behaviors in modern societies,1,0
attitudes in modern societies,1,0
applied computer science,1,0
historical studies,1,0
free turbulent flows,1,0
flows around bodies,1,0
semi-confined flows,1,0
confined flows,1,0
paleo,1,0
environment protection,1,0
management of urban areas,1,0
regional and local planning,1,0
sustainable development,1,0
sentinels,1,0
eurosur,1,0
g-mosaic,1,0
civil protection,1,0
biochemical reactions,1,0
kinetic properties,1,0
enzyme kinetics,1,0
kinetic equations,1,0
animal studies,1,0
radioecology,1,0
radiation epidemiology,1,0
radiation research,1,0
land management,1,0
emergency response,1,0
security change,1,0
image archive,1,0
manuscript illumination,1,0
prints,1,0
charters,1,0
frescoes,1,0
textiles,1,0
intermediate product,1,0
enzymatic activity,1,0
query spectrum,1,0
decision trees,1,0
lakebed cores,1,0
grabs,1,0
drill samples,1,0
dredges,1,0
neurospora,1,0
aspergillus,1,0
fusarium,1,0
magnaporthe,1,0
strains,1,0
optics,1,0
halos,1,0
qualitative social sciences,1,0
organic chemistry,1,0
structure formula,1,0
polymers,1,0
metallorganic compounds,1,0
genomics - data processing,1,0
meteorology - observations,1,0
tide stations,1,0
sea level - observations,1,0
algal blooms - monitoring,1,0
ocean currents - measurement,1,0
meteorological stations,1,0
red tide,1,0
barrow (alaska),1,0
north slope (alaska),1,0
satellity imagery,1,0
transportation - social aspects,1,0
transportation - models,1,0
transportation and state - econometric models,1,0
transportation and state - planning,1,0
transport theory - statistical methods,1,0
transportation surveys,1,0
transportation engineering,1,0
planning - forecasting,1,0
geography - network analysis,1,0
civil engineering - planning,1,0
educational planning,1,0
educational statistics,1,0
education and state - evaluation,1,0
education and state - data processing,1,0
educational mobility,1,0
educational acceleration - evaluation,1,0
educational planning - forecasting,1,0
education and state - decision making,1,0
emission spectroscopy,1,0
pesticides and wildlife,1,0
pesticides industry,1,0
pollutants - environmental aspects,1,0
canadian arctic,1,0
radionuclides,1,0
renewable energy sources,1,0
energy auditing,1,0
human beings - psychology,1,0
behavioral assessment,1,0
science and civilization,1,0
hiv (viruses) - law and legislation - u.s. states,1,0
hiv (viruses) - information services,1,0
hiv (viruses) - government policy,1,0
learning,1,0
fluency (language learning),1,0
study data,1,0
energy development,1,0
geothermal resources,1,0
hotspots,1,0
web archives,1,0
software documentation,1,0
digital library,1,0
internet archive,1,0
wayback machine,1,0
climate and civilization,1,0
water resources development,1,0
irrigation canals and flumes - environmental aspects,1,0
